view_id,user_id,movie_id,watch_timestamp,duration_watched
v_1,u_0862,m_419,2023-01-01 06:29:27,98
v_2,u_0433,m_065,2023-01-01 18:20:56,3
v_3,u_0414,m_480,2023-01-01 05:34:26,111
v_4,u_0226,m_465,2023-01-01 07:57:24,1
v_5,u_0886,m_073,2023-01-01 00:04:49,91
v_6,u_0631,m_105,2023-01-01 07:35:43,31
v_7,u_0325,m_432,2023-01-01 15:41:57,94
v_8,u_0425,m_412,2023-01-01 06:50:12,56
v_9,u_0363,m_232,2023-01-01 05:37:59,33
v_10,u_0141,m_244,2023-01-01 21:16:01,81
v_11,u_0384,m_384,2023-01-01 21:29:29,42
v_12,u_0917,m_444,2023-01-01 03:22:05,66
v_13,u_0391,m_339,2023-01-01 00:53:52,117
v_14,u_0350,m_321,2023-01-01 17:02:55,17
v_15,u_0154,m_118,2023-01-01 19:20:56,73
v_16,u_0337,m_316,2023-01-01 11:00:22,43
v_17,u_0330,m_255,2023-01-01 12:55:25,75
v_18,u_0263,m_084,2023-01-01 12:54:31,9
v_19,u_0729,m_183,2023-01-01 22:23:11,77
v_20,u_0850,m_319,2023-01-01 13:50:16,80
v_21,u_0059,m_309,2023-01-01 13:54:51,15
v_22,u_0995,m_084,2023-01-01 12:52:23,77
v_23,u_0875,m_451,2023-01-01 00:23:16,98
v_24,u_0797,m_368,2023-01-01 10:05:00,94
v_25,u_0520,m_493,2023-01-01 15:43:02,96
v_26,u_0181,m_200,2023-01-01 15:37:11,62
v_27,u_0426,m_388,2023-01-01 04:30:07,1
v_28,u_0202,m_179,2023-01-01 07:25:39,115
v_29,u_0671,m_024,2023-01-01 02:39:55,64
v_30,u_0361,m_074,2023-01-01 10:28:20,45
v_31,u_0495,m_124,2023-01-01 14:26:48,118
v_32,u_0501,m_452,2023-01-01 20:00:05,46
v_33,u_0329,m_392,2023-01-01 07:24:41,45
v_34,u_0006,m_002,2023-01-01 09:06:23,26
v_35,u_0207,m_339,2023-01-01 12:52:37,120
v_36,u_0044,m_457,2023-01-01 06:35:00,75
v_37,u_0103,m_270,2023-01-01 03:08:29,119
v_38,u_0052,m_389,2023-01-01 02:48:31,59
v_39,u_0770,m_486,2023-01-01 09:18:28,48
v_40,u_0926,m_276,2023-01-01 03:54:51,18
v_41,u_0662,m_493,2023-01-01 05:28:07,5
v_42,u_0736,m_401,2023-01-01 15:43:48,69
v_43,u_0423,m_463,2023-01-01 03:34:20,69
v_44,u_0090,m_009,2023-01-01 03:30:48,103
v_45,u_0352,m_191,2023-01-01 11:46:44,36
v_46,u_0512,m_316,2023-01-01 15:26:25,62
v_47,u_0236,m_106,2023-01-01 05:23:35,24
v_48,u_0950,m_300,2023-01-01 01:02:48,14
v_49,u_0310,m_326,2023-01-01 23:36:31,49
v_50,u_0522,m_358,2023-01-01 05:38:33,9
v_51,u_0870,m_348,2023-01-01 22:46:33,6
v_52,u_0024,m_495,2023-01-01 20:48:18,52
v_53,u_0344,m_264,2023-01-01 10:39:51,90
v_54,u_0032,m_403,2023-01-01 10:35:28,18
v_55,u_0697,m_055,2023-01-01 22:18:23,13
v_56,u_0161,m_410,2023-01-01 09:43:24,117
v_57,u_0292,m_263,2023-01-01 02:10:33,46
v_58,u_0029,m_185,2023-01-01 07:16:35,90
v_59,u_0024,m_379,2023-01-01 00:19:10,94
v_60,u_0483,m_121,2023-01-01 07:41:19,42
v_61,u_0523,m_188,2023-01-01 19:57:41,47
v_62,u_0241,m_219,2023-01-01 13:38:20,85
v_63,u_0570,m_333,2023-01-01 22:14:05,50
v_64,u_0123,m_262,2023-01-01 03:24:32,120
v_65,u_0527,m_243,2023-01-01 18:09:53,55
v_66,u_0166,m_275,2023-01-01 21:00:48,102
v_67,u_0417,m_399,2023-01-01 16:29:28,70
v_68,u_0505,m_273,2023-01-01 10:43:53,111
v_69,u_0464,m_273,2023-01-01 07:22:59,15
v_70,u_0557,m_067,2023-01-01 23:03:07,66
v_71,u_0691,m_153,2023-01-01 17:39:32,48
v_72,u_0940,m_058,2023-01-01 09:05:27,56
v_73,u_0731,m_048,2023-01-01 00:34:44,48
v_74,u_0038,m_135,2023-01-01 23:12:10,97
v_75,u_0758,m_076,2023-01-01 23:19:40,73
v_76,u_0707,m_324,2023-01-01 14:49:11,104
v_77,u_0544,m_428,2023-01-01 09:21:06,48
v_78,u_0857,m_315,2023-01-01 04:02:45,61
v_79,u_0490,m_203,2023-01-01 00:44:31,98
v_80,u_0929,m_439,2023-01-01 07:38:01,59
v_81,u_0225,m_212,2023-01-01 05:32:42,71
v_82,u_0867,m_010,2023-01-01 03:20:19,91
v_83,u_0754,m_414,2023-01-01 17:42:04,37
v_84,u_0567,m_425,2023-01-01 23:08:44,78
v_85,u_0787,m_223,2023-01-01 10:04:21,94
v_86,u_0576,m_446,2023-01-01 15:45:17,102
v_87,u_0041,m_230,2023-01-01 05:43:07,32
v_88,u_0769,m_102,2023-01-01 16:38:18,10
v_89,u_0514,m_275,2023-01-01 23:54:20,14
v_90,u_0955,m_437,2023-01-01 00:23:55,33
v_91,u_0690,m_033,2023-01-01 10:19:32,66
v_92,u_0902,m_186,2023-01-01 13:30:21,49
v_93,u_0675,m_055,2023-01-01 00:12:49,30
v_94,u_0668,m_011,2023-01-01 18:05:52,28
v_95,u_0799,m_186,2023-01-01 12:09:21,83
v_96,u_0473,m_058,2023-01-01 05:58:14,1
v_97,u_0537,m_288,2023-01-01 17:35:31,81
v_98,u_0789,m_003,2023-01-01 19:01:01,84
v_99,u_0104,m_189,2023-01-01 20:13:03,120
v_100,u_0350,m_170,2023-01-01 00:57:02,93
v_101,u_0108,m_297,2023-01-01 11:04:05,16
v_102,u_0510,m_297,2023-01-01 05:13:57,104
v_103,u_0070,m_397,2023-01-01 22:37:38,101
v_104,u_0753,m_037,2023-01-01 04:36:28,114
v_105,u_0204,m_428,2023-01-01 09:11:23,116
v_106,u_0706,m_303,2023-01-01 04:13:29,34
v_107,u_0387,m_479,2023-01-01 02:33:29,33
v_108,u_0847,m_226,2023-01-01 02:25:13,78
v_109,u_0090,m_386,2023-01-01 18:13:49,86
v_110,u_0778,m_221,2023-01-01 18:58:00,75
v_111,u_0573,m_292,2023-01-01 19:12:04,9
v_112,u_0095,m_421,2023-01-01 00:45:57,86
v_113,u_0854,m_128,2023-01-01 13:10:41,42
v_114,u_0684,m_045,2023-01-01 15:26:28,58
v_115,u_0947,m_127,2023-01-01 01:20:02,106
v_116,u_0837,m_114,2023-01-01 05:07:06,53
v_117,u_0642,m_022,2023-01-01 13:30:47,118
v_118,u_0696,m_090,2023-01-01 01:10:57,99
v_119,u_0131,m_258,2023-01-01 15:40:02,16
v_120,u_0903,m_366,2023-01-01 16:48:32,57
v_121,u_0883,m_133,2023-01-01 09:37:00,71
v_122,u_0300,m_104,2023-01-01 16:55:40,14
v_123,u_0746,m_316,2023-01-01 22:24:43,62
v_124,u_0018,m_111,2023-01-01 13:03:14,117
v_125,u_0678,m_333,2023-01-01 15:43:16,72
v_126,u_0863,m_001,2023-01-01 22:05:59,74
v_127,u_0060,m_471,2023-01-01 17:05:17,58
v_128,u_0352,m_239,2023-01-01 15:14:12,51
v_129,u_0350,m_238,2023-01-01 08:24:07,7
v_130,u_0973,m_484,2023-01-01 04:02:20,10
v_131,u_0560,m_138,2023-01-01 22:59:53,61
v_132,u_0652,m_057,2023-01-01 20:52:29,98
v_133,u_0660,m_238,2023-01-01 07:35:46,118
v_134,u_0481,m_247,2023-01-01 04:28:11,81
v_135,u_0436,m_467,2023-01-01 13:26:54,38
v_136,u_0680,m_316,2023-01-01 22:57:05,101
v_137,u_0550,m_165,2023-01-01 15:43:30,76
v_138,u_0425,m_204,2023-01-01 23:54:24,73
v_139,u_0995,m_068,2023-01-01 12:21:33,61
v_140,u_0383,m_031,2023-01-01 09:55:11,115
v_141,u_0643,m_108,2023-01-01 15:16:03,93
v_142,u_0609,m_236,2023-01-01 03:22:35,8
v_143,u_0597,m_238,2023-01-01 04:44:27,57
v_144,u_0520,m_304,2023-01-01 20:28:31,14
v_145,u_0817,m_054,2023-01-01 09:57:57,35
v_146,u_0966,m_412,2023-01-01 20:49:46,44
v_147,u_0470,m_417,2023-01-01 10:52:33,113
v_148,u_0592,m_216,2023-01-01 18:09:01,59
v_149,u_0502,m_380,2023-01-01 06:40:58,79
v_150,u_0456,m_444,2023-01-01 06:30:42,52
v_151,u_0840,m_289,2023-01-01 16:44:35,112
v_152,u_0202,m_202,2023-01-01 14:20:43,59
v_153,u_0359,m_115,2023-01-01 09:46:09,120
v_154,u_0068,m_148,2023-01-01 00:13:13,34
v_155,u_0733,m_067,2023-01-01 19:12:08,52
v_156,u_0877,m_081,2023-01-01 20:49:37,92
v_157,u_0546,m_042,2023-01-01 23:36:14,5
v_158,u_0920,m_050,2023-01-01 13:10:15,63
v_159,u_0065,m_409,2023-01-01 17:05:10,53
v_160,u_0360,m_055,2023-01-01 01:26:50,90
v_161,u_0423,m_244,2023-01-01 14:17:13,113
v_162,u_0396,m_212,2023-01-01 19:56:02,102
v_163,u_0730,m_347,2023-01-01 12:20:09,112
v_164,u_0866,m_439,2023-01-01 13:53:51,93
v_165,u_0654,m_182,2023-01-01 02:13:43,85
v_166,u_0912,m_270,2023-01-01 17:39:48,56
v_167,u_0934,m_235,2023-01-01 22:16:18,42
v_168,u_0893,m_015,2023-01-01 08:48:54,118
v_169,u_0846,m_157,2023-01-01 11:21:58,4
v_170,u_0014,m_153,2023-01-01 17:34:34,81
v_171,u_0990,m_337,2023-01-01 22:11:18,94
v_172,u_0869,m_297,2023-01-01 11:23:01,10
v_173,u_0410,m_346,2023-01-01 05:47:09,113
v_174,u_0569,m_317,2023-01-01 02:30:10,116
v_175,u_0331,m_307,2023-01-01 11:59:41,53
v_176,u_0907,m_298,2023-01-01 03:42:07,45
v_177,u_0674,m_405,2023-01-01 16:52:34,27
v_178,u_0005,m_077,2023-01-01 16:00:41,36
v_179,u_0835,m_345,2023-01-01 09:44:53,71
v_180,u_0278,m_114,2023-01-01 11:09:31,79
v_181,u_0682,m_121,2023-01-01 20:22:33,44
v_182,u_0340,m_006,2023-01-01 11:45:02,49
v_183,u_0630,m_409,2023-01-01 09:56:04,73
v_184,u_0773,m_026,2023-01-01 09:53:10,33
v_185,u_0619,m_401,2023-01-01 20:34:25,29
v_186,u_0244,m_427,2023-01-01 07:20:32,5
v_187,u_0566,m_062,2023-01-01 04:55:26,76
v_188,u_0860,m_431,2023-01-01 21:50:49,83
v_189,u_0092,m_481,2023-01-01 07:43:50,24
v_190,u_0997,m_310,2023-01-01 08:15:07,16
v_191,u_0418,m_308,2023-01-01 07:07:34,66
v_192,u_0815,m_042,2023-01-01 20:12:51,51
v_193,u_0643,m_063,2023-01-01 10:52:59,16
v_194,u_0308,m_200,2023-01-01 19:20:42,53
v_195,u_0774,m_467,2023-01-01 16:19:31,84
v_196,u_0821,m_365,2023-01-01 14:30:15,18
v_197,u_0350,m_204,2023-01-01 09:34:57,96
v_198,u_0897,m_355,2023-01-01 07:44:31,24
v_199,u_0331,m_258,2023-01-01 18:56:07,16
v_200,u_0432,m_072,2023-01-01 01:01:41,40
v_201,u_0335,m_273,2023-01-01 20:26:48,82
v_202,u_0941,m_315,2023-01-01 11:40:48,22
v_203,u_0712,m_483,2023-01-01 22:38:01,89
v_204,u_0821,m_003,2023-01-01 09:56:01,50
v_205,u_0210,m_018,2023-01-01 06:34:21,62
v_206,u_0917,m_177,2023-01-01 08:54:04,31
v_207,u_0363,m_430,2023-01-01 22:09:59,93
v_208,u_0102,m_187,2023-01-01 09:50:03,36
v_209,u_0388,m_476,2023-01-01 16:32:34,101
v_210,u_0678,m_162,2023-01-01 10:47:42,40
v_211,u_0777,m_448,2023-01-01 07:36:53,67
v_212,u_0926,m_095,2023-01-01 23:52:40,103
v_213,u_0309,m_437,2023-01-01 11:43:57,22
v_214,u_0040,m_021,2023-01-01 13:51:45,83
v_215,u_0410,m_242,2023-01-01 02:31:47,63
v_216,u_0698,m_440,2023-01-01 10:18:11,34
v_217,u_0825,m_144,2023-01-01 22:18:37,113
v_218,u_0858,m_467,2023-01-01 17:43:54,36
v_219,u_0559,m_430,2023-01-01 05:29:27,20
v_220,u_0675,m_027,2023-01-01 12:04:58,29
v_221,u_0495,m_317,2023-01-01 07:08:44,105
v_222,u_0336,m_440,2023-01-01 12:51:10,110
v_223,u_0701,m_013,2023-01-01 10:32:52,76
v_224,u_0489,m_404,2023-01-01 18:27:05,97
v_225,u_0807,m_450,2023-01-01 18:48:03,19
v_226,u_0628,m_151,2023-01-01 19:33:23,31
v_227,u_0991,m_460,2023-01-01 11:01:54,44
v_228,u_0375,m_364,2023-01-01 19:18:39,5
v_229,u_0858,m_113,2023-01-01 07:36:23,81
v_230,u_0552,m_124,2023-01-01 03:10:11,19
v_231,u_0585,m_382,2023-01-01 18:08:03,54
v_232,u_0124,m_133,2023-01-01 20:40:04,73
v_233,u_0770,m_033,2023-01-01 04:05:10,83
v_234,u_0884,m_257,2023-01-01 16:33:51,7
v_235,u_0657,m_397,2023-01-01 06:43:13,56
v_236,u_0486,m_402,2023-01-01 16:21:05,33
v_237,u_0890,m_128,2023-01-01 14:15:14,22
v_238,u_0313,m_419,2023-01-01 14:37:26,34
v_239,u_0149,m_341,2023-01-01 01:15:23,102
v_240,u_0579,m_482,2023-01-01 11:04:43,1
v_241,u_0782,m_361,2023-01-01 20:01:24,82
v_242,u_0716,m_219,2023-01-01 12:57:44,3
v_243,u_0472,m_198,2023-01-01 04:13:25,104
v_244,u_0915,m_497,2023-01-01 03:58:31,8
v_245,u_0530,m_227,2023-01-01 07:17:51,82
v_246,u_0033,m_365,2023-01-01 11:43:49,22
v_247,u_0179,m_422,2023-01-01 08:00:18,89
v_248,u_0295,m_071,2023-01-01 19:30:15,4
v_249,u_0475,m_398,2023-01-01 06:55:28,28
v_250,u_0113,m_366,2023-01-01 04:30:39,90
v_251,u_0718,m_214,2023-01-01 08:22:31,69
v_252,u_0717,m_313,2023-01-01 18:50:58,32
v_253,u_0165,m_124,2023-01-01 07:31:40,97
v_254,u_0528,m_355,2023-01-01 18:31:16,42
v_255,u_0875,m_287,2023-01-01 17:11:59,50
v_256,u_0291,m_259,2023-01-01 10:40:41,108
v_257,u_0720,m_468,2023-01-01 00:34:49,53
v_258,u_0790,m_351,2023-01-01 16:37:38,13
v_259,u_0838,m_363,2023-01-01 03:21:35,4
v_260,u_0679,m_206,2023-01-01 02:50:38,109
v_261,u_0454,m_026,2023-01-01 07:51:52,7
v_262,u_0879,m_449,2023-01-01 02:33:05,117
v_263,u_0810,m_176,2023-01-01 18:45:47,78
v_264,u_0420,m_370,2023-01-01 17:50:02,89
v_265,u_0597,m_281,2023-01-01 13:22:19,50
v_266,u_0132,m_399,2023-01-01 02:35:01,51
v_267,u_0499,m_057,2023-01-01 22:03:41,82
v_268,u_0440,m_454,2023-01-01 11:56:15,21
v_269,u_0292,m_185,2023-01-01 06:15:12,74
v_270,u_0220,m_026,2023-01-01 08:43:01,12
v_271,u_0703,m_271,2023-01-01 20:11:50,34
v_272,u_0923,m_130,2023-01-01 22:46:22,76
v_273,u_0409,m_293,2023-01-01 02:26:10,52
v_274,u_0701,m_473,2023-01-01 19:20:52,39
v_275,u_0066,m_171,2023-01-01 08:20:41,110
v_276,u_0985,m_130,2023-01-01 17:07:40,56
v_277,u_0273,m_014,2023-01-01 00:13:06,32
v_278,u_0297,m_181,2023-01-01 08:20:51,36
v_279,u_0821,m_383,2023-01-01 22:49:01,60
v_280,u_0489,m_151,2023-01-01 10:58:27,71
v_281,u_0193,m_107,2023-01-01 01:25:24,59
v_282,u_0745,m_303,2023-01-01 17:00:16,54
v_283,u_0437,m_435,2023-01-01 16:00:54,38
v_284,u_0809,m_288,2023-01-01 17:36:36,105
v_285,u_0156,m_370,2023-01-01 12:51:37,22
v_286,u_0515,m_070,2023-01-01 18:29:38,51
v_287,u_0931,m_055,2023-01-01 02:04:05,108
v_288,u_0856,m_117,2023-01-01 00:34:12,106
